time_s,AIN1_RAW,AIN2_RAW,AIN3_RAW,AIN4_RAW,AIN1_voltage_est,AIN2_voltage_est,AIN3_voltage_est,AIN4_voltage_est,AIN1_filtered_v,AIN2_filtered_v,AIN3_filtered_v,AIN4_filtered_v
0,2031,1674,3061,749,2.45505494505495,2.02351648351648,3.70010989010989,0.905384615384615,2.54232967032967,2.09507692307692,3.71316483516483,0.917956043956044
0.01,2109,1748,3061,732,2.54934065934066,2.11296703296703,3.70010989010989,0.884835164835165,2.5485347985348,2.11155677655678,3.70474358974359,0.923516483516483
0.02,2077,1782,3068,758,2.51065934065934,2.15406593406593,3.70857142857143,0.916263736263736,2.55452119309262,2.10709576138148,3.70028257456829,0.928178963893249
0.03,2133,1714,3094,785,2.57835164835165,2.07186813186813,3.74,0.948901098901099,2.55326923076923,2.10949175824176,3.70403846153846,0.931826923076923
0.04,2166,1748,3075,773,2.61824175824176,2.11296703296703,3.71703296703297,0.934395604395604,2.55954822954823,2.10813186813187,3.70507936507937,0.933992673992674
0.05,2134,1815,3030,787,2.57956043956044,2.19395604395604,3.66263736263736,0.951318681318681,2.56698901098901,2.1178021978022,3.70337362637363,0.934879120879121
0.06,2143,1721,3039,791,2.59043956043956,2.08032967032967,3.67351648351648,0.956153846153846,2.59068131868132,2.12964835164835,3.70059340659341,0.942736263736264
0.07,2105,1759,3086,792,2.54450549450549,2.12626373626374,3.73032967032967,0.957362637362637,2.60591208791209,2.13061538461538,3.69696703296703,0.953857142857143
0.08,2159,1735,3072,787,2.60978021978022,2.09725274725275,3.71340659340659,0.951318681318681,2.62102197802198,2.13508791208791,3.69321978021978,0.964857142857143
0.09,2179,1824,3051,780,2.63395604395604,2.20483516483516,3.68802197802198,0.942857142857143,2.62440659340659,2.14910989010989,3.69225274725275,0.974648351648352
0.1,2227,1772,3038,814,2.69197802197802,2.14197802197802,3.67230769230769,0.983956043956044,2.62936263736264,2.15841758241758,3.68935164835165,0.985527472527473
0.11,2235,1756,3031,824,2.70164835164835,2.12263736263736,3.66384615384615,0.996043956043956,2.65124175824176,2.15817582417582,3.69249450549451,0.99543956043956
0.12,2202,1819,3037,849,2.66175824175824,2.19879120879121,3.6710989010989,1.02626373626374,2.662,2.17546153846154,3.69853846153846,1.00523076923077
